final_model,split_regime,n_readers,n_prefix_rows,coverage,undecided_rate,mean_words_to_decision,mean_texts_to_decision,evidence_cost,earliness_score,unstable_prefix_rate,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept,candidate_id,candidate_group,feature_family,source_feature_group,calibrator,threshold_policy,accumulator,stopping_policy,prefix_type,prefix_value,threshold,calibration_source,clean_result,official_claim_allowed,selection_source,validation_score,validation_no_earliness_score,rescue_candidate
best_offline_all_full_evidence,participant_grouped_kfold,57,57,1.0,0.0,5880.754385964912,4.245614035087719,1.0,0.0,0.0,0.8988919667590027,0.827106712425272,0.8157894736842105,0.8323529411764705,0.11860417816183791,0.6842105263157895,0.9473684210526315,0.05263157894736842,0.3157894736842105,0.09859775399960255,0.18079389056070844,0.615465350548898,v2_candidate_0000,offline_all_full_evidence,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,learned_meta_aggregator,no_stop,trial_or_text_prefix,all,0.5,identity,True,False,inner_oof,0.7937030052572108,0.8818922291966638,
best_offline_all_full_evidence,text_balanced_unseen_reader,57,57,1.0,0.0,5880.754385964912,4.245614035087719,1.0,0.0,0.0,0.8988919667590027,0.827106712425272,0.8157894736842105,0.8323529411764705,0.11860417816183791,0.6842105263157895,0.9473684210526315,0.05263157894736842,0.3157894736842105,0.09859775399960255,0.18079389056070844,0.615465350548898,v2_candidate_0000,offline_all_full_evidence,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,learned_meta_aggregator,no_stop,trial_or_text_prefix,all,0.5,identity,True,False,inner_oof,0.7937030052572108,0.8818922291966638,
best_offline_all_full_evidence,unseen_reader,57,57,1.0,0.0,5880.754385964912,4.245614035087719,1.0,0.0,0.0,0.8988919667590027,0.827106712425272,0.8157894736842105,0.8323529411764705,0.11860417816183791,0.6842105263157895,0.9473684210526315,0.05263157894736842,0.3157894736842105,0.09859775399960255,0.18079389056070844,0.615465350548898,v2_candidate_0000,offline_all_full_evidence,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,learned_meta_aggregator,no_stop,trial_or_text_prefix,all,0.5,identity,True,False,inner_oof,0.7937030052572108,0.8818922291966638,
best_online_late_accumulation,participant_grouped_kfold,57,57,1.0,0.0,1000.0,1.087719298245614,0.2779521598262637,0.7220478401737362,0.0,0.778393351800554,0.5930120848680406,0.6842105263157895,0.6842105263157895,0.1783947022107178,0.5789473684210527,0.7894736842105263,0.21052631578947367,0.42105263157894735,0.09291796777783846,0.02827327788837897,0.3923287378356741,v2_candidate_0012,online_late_accumulation,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,isotonic,fixed_0_5,mean_probability,fixed_budget,word_count_prefix,1000,0.5,isotonic,True,False,inner_oof,0.7130460846677165,0.7391099379678578,
best_online_late_accumulation,text_balanced_unseen_reader,57,57,1.0,0.0,1000.0,1.087719298245614,0.2779521598262637,0.7220478401737362,0.0,0.778393351800554,0.5930120848680406,0.6842105263157895,0.6842105263157895,0.1783947022107178,0.5789473684210527,0.7894736842105263,0.21052631578947367,0.42105263157894735,0.09291796777783846,0.02827327788837897,0.3923287378356741,v2_candidate_0012,online_late_accumulation,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,isotonic,fixed_0_5,mean_probability,fixed_budget,word_count_prefix,1000,0.5,isotonic,True,False,inner_oof,0.7130460846677165,0.7391099379678578,
best_online_late_accumulation,unseen_reader,57,57,1.0,0.0,1000.0,1.087719298245614,0.2779521598262637,0.7220478401737362,0.0,0.778393351800554,0.5930120848680406,0.6842105263157895,0.6842105263157895,0.1783947022107178,0.5789473684210527,0.7894736842105263,0.21052631578947367,0.42105263157894735,0.09291796777783846,0.02827327788837897,0.3923287378356741,v2_candidate_0012,online_late_accumulation,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,isotonic,fixed_0_5,mean_probability,fixed_budget,word_count_prefix,1000,0.5,isotonic,True,False,inner_oof,0.7130460846677165,0.7391099379678578,
best_online_late_accumulation,unseen_reader_and_text,17,17,1.0,0.0,1000.0,1.0,0.756638244964754,0.24336175503524599,0.0,0.7013888888888888,0.6299107142857143,0.5833333333333333,0.5824561403508772,0.258143291536743,0.5,0.6666666666666666,0.3333333333333333,0.5,0.224398552215902,0.0463784916913355,0.5372505849455582,v2_candidate_0012,online_late_accumulation,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,isotonic,fixed_0_5,mean_probability,fixed_budget,word_count_prefix,1000,0.5,isotonic,True,False,inner_oof,0.7130460846677165,0.7391099379678578,
best_online_late_accumulation,unseen_text,52,52,1.0,0.0,1000.0,1.0,0.7568412859100874,0.24315871408991263,0.0,0.7647058823529411,0.5803733031674209,0.738655462184874,0.7273093989511901,0.180103713510183,0.7058823529411765,0.7714285714285715,0.22857142857142856,0.29411764705882354,0.10003987572929154,0.041313872117573466,0.36912819659591234,v2_candidate_0012,online_late_accumulation,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,isotonic,fixed_0_5,mean_probability,fixed_budget,word_count_prefix,1000,0.5,isotonic,True,False,inner_oof,0.7130460846677165,0.7391099379678578,
best_online_mid_detection,participant_grouped_kfold,57,57,1.0,0.0,500.0,1.0175438596491229,0.2094038855383059,0.7905961144616942,0.0,0.7950138504155125,0.6503677033936174,0.7763157894736843,0.7572879135276778,0.15959711130773793,0.7894736842105263,0.7631578947368421,0.23684210526315788,0.21052631578947367,0.08623827961215905,0.20463078061860726,0.5317682210673945,v2_candidate_0019,online_mid_detection,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,word_count_prefix,500,0.36934041804461165,identity,True,False,inner_oof,0.759114562223872,0.7774810480582808,
best_online_mid_detection,text_balanced_unseen_reader,57,57,1.0,0.0,500.0,1.0175438596491229,0.2094038855383059,0.7905961144616942,0.0,0.7950138504155125,0.6503677033936174,0.7763157894736843,0.7572879135276778,0.15959711130773793,0.7894736842105263,0.7631578947368421,0.23684210526315788,0.21052631578947367,0.08623827961215905,0.20463078061860726,0.5317682210673945,v2_candidate_0019,online_mid_detection,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,word_count_prefix,500,0.36934041804461165,identity,True,False,inner_oof,0.759114562223872,0.7774810480582808,
